LPPR1	LPPR1
FOXN2	FOXN2
ZNF582-AS1	ZNF582-AS1
MSS51	MSS51
DTYMK	DTYMK
CCNF	CCNF
FLVCR1-AS1	FLVCR1-AS1
C17orf99	C17orf99
LOC284023	LOC284023
ZNF544	ZNF544
ZFYVE1	ZFYVE1
NCAN	NCAN
TBPL1	TBPL1
GRSF1	GRSF1
ZCCHC17	ZCCHC17
GPAT2	GPAT2
TTC36	TTC36
RNF169	RNF169
ZNF706	ZNF706
C10orf99	C10orf99
VDAC3	VDAC3
LEF1-AS1	LEF1-AS1
CCL5	CCL5
LINC00320	LINC00320
DEFB1	DEFB1
LOC100506229	LOC100506229
SEPHS2	SEPHS2
ATG12	ATG12
COMMD7	COMMD7
FAM177A1	FAM177A1
LOC100996578	LOC100996578
PXDNL	PXDNL
RAD23A	RAD23A
TCIRG1	TCIRG1
RANBP6	RANBP6
TMEM88	TMEM88
KRT71	KRT71
PHAX	PHAX
TRAF3IP3	TRAF3IP3
MSMB	MSMB
MEMO1	MEMO1
PHF7	PHF7
SBK1	SBK1
LPGAT1	LPGAT1
DPYSL4	DPYSL4
DTX3	DTX3
DYNLRB2	DYNLRB2
KCTD19	KCTD19
BPTF	BPTF
CDH9	CDH9
MCF2	MCF2
VEGFA	VEGFA
AGRN	AGRN
PIP5K1C	PIP5K1C
YIPF3	YIPF3
MSRA	MSRA
GNG13	GNG13
BCAR4	BCAR4
KCNT2	KCNT2
CHADL	CHADL
NENF	NENF
KPTN	KPTN
SPAST	SPAST
ARHGAP33	ARHGAP33
GLIPR2	GLIPR2
USP54	USP54
DNAJC18	DNAJC18
DGKE	DGKE
C11orf65	C11orf65
PHF21B	PHF21B
SSU72	SSU72
EGR4	EGR4
LOC100129550	LOC100129550
SEPT2	SEPT2
ACVR1B	ACVR1B
SFXN3	SFXN3
BLOC1S6	BLOC1S6
CHMP4C	CHMP4C
MTCH1	MTCH1
ARHGAP18	ARHGAP18
C21orf91	C21orf91
SPTY2D1	SPTY2D1
ASB12	ASB12
SLC7A6	SLC7A6
SAYSD1	SAYSD1
NSUN2	NSUN2
CXorf26	PBDC1
MS4A8B	MS4A8
PLD6	PLD6
MAP3K3	MAP3K3
TUBD1	TUBD1
NKIRAS2	NKIRAS2
RHOU	RHOU
C6orf226	C6orf226
RAB27B	RAB27B
ELOVL2-AS1	ELOVL2-AS1
PWRN1	PWRN1
FAM59A	GAREM
CALM3	CALM3
CHD9	CHD9
TBL1X	TBL1X
CNTNAP2	CNTNAP2
SPATA16	SPATA16
NAPB	NAPB
POMT2	POMT2
YPEL2	YPEL2
LRRC55	LRRC55
NEFH	NEFH
SEPW1	SEPW1
EPB41L2	EPB41L2
STC2	STC2
SLC35D2	SLC35D2
FXC1	TIMM10B
CLPTM1L	CLPTM1L
LOC100506718	LOC100506718
ANGPTL3	ANGPTL3
ANPEP	ANPEP
MSRB1	MSRB1
ZNF672	ZNF672
DKKL1	DKKL1
MRPL50	MRPL50
UPF3A	UPF3A
TSKS	TSKS
SCAF11	SCAF11
ZNF558	ZNF558
TIGD2	TIGD2
C1orf186	C1orf186
SMNDC1	SMNDC1
WSCD1	WSCD1
CNOT2	CNOT2
